166 - Suzuya Homerarete Nobiru Type Nandesu.|saradisk|FAMoss|Normal|7.5|7.5|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/4KEY/FAMoss/saradisk%20-%20166%20-%20Suzuya%20Homerarete%20Nobiru%20Type%20Nandesu.%20%28FAMoss%29%20%5BNormal%5D.osu

Mario Paint (Time Regression Mix for BMS)|ueotan|Fullerene-|D-ANOTHER|5.5|8|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/4KEY/Fullerene-/MarioPaint/ueotan%20-%20Mario%20Paint%20%28Time%20Regression%20Mix%20for%20BMS%29%20%28Fullerene-%29%20%5BD-ANOTHER%5D.osu

Mario Paint (Time Regression Mix for BMS)|ueotan|Fullerene-|D-HYPER|5.5|8|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/4KEY/Fullerene-/MarioPaint/ueotan%20-%20Mario%20Paint%20%28Time%20Regression%20Mix%20for%20BMS%29%20%28Fullerene-%29%20%5BD-HYPER%5D.osu

Mario Paint (Time Regression Mix for BMS)|ueotan|Fullerene-|D-NORMAL|5.5|8|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/4KEY/Fullerene-/MarioPaint/ueotan%20-%20Mario%20Paint%20%28Time%20Regression%20Mix%20for%20BMS%29%20%28Fullerene-%29%20%5BD-NORMAL%5D.osu

Dan ~ REFORM ~ 1st Pack|Various Artists|DDMythical|~ 1st ~ (Marathon)|7.5|7.5|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/DDMythical/ReformDanFull/Various%20Artists%20-%20Dan%20~%20REFORM%20~%201st%20Pack%20%28DDMythical%29%20%5B~%201st%20~%20%28Marathon%29%5D.osu

Dan ~ REFORM ~ 1st Pack|Various Artists|DDMythical|~ 2nd ~ (Marathon)|7.5|7.5|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/DDMythical/ReformDanFull/Various%20Artists%20-%20Dan%20~%20REFORM%20~%201st%20Pack%20%28DDMythical%29%20%5B~%202nd%20~%20%28Marathon%29%5D.osu

Dan ~ REFORM ~ 1st Pack|Various Artists|DDMythical|~ 3rd ~ (Marathon)|7.5|7.5|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/DDMythical/ReformDanFull/Various%20Artists%20-%20Dan%20~%20REFORM%20~%201st%20Pack%20%28DDMythical%29%20%5B~%203rd%20~%20%28Marathon%29%5D.osu

Dan ~ REFORM ~ 1st Pack|Various Artists|DDMythical|~ 4th ~ (Marathon)|8|8|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/DDMythical/ReformDanFull/Various%20Artists%20-%20Dan%20~%20REFORM%20~%201st%20Pack%20%28DDMythical%29%20%5B~%204th%20~%20%28Marathon%29%5D.osu

Dan ~ REFORM ~ 1st Pack|Various Artists|DDMythical|~ 5th ~ (Marathon)|8|8|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/DDMythical/ReformDanFull/Various%20Artists%20-%20Dan%20~%20REFORM%20~%201st%20Pack%20%28DDMythical%29%20%5B~%205th%20~%20%28Marathon%29%5D.osu

Dan ~ REFORM ~ 1st Pack|Various Artists|DDMythical|~ 6th ~ (Marathon)|8|8|DROPBOX_AUDIO_HERE|https://raw.githubusercontent.com/ILLUMIN4TION/VRC-Mania/main/Songs/DDMythical/ReformDanFull/Various%20Artists%20-%20Dan%20~%20REFORM%20~%201st%20Pack%20%28DDMythical%29%20%5B~%206th%20~%20%28Marathon%29%5D.osu

